,terms,log_prob
0,"PM(""egg_num_num"")",0.0
1,"[BB,getDot,PM(""egg_num_egg"")]",-1.3862943611198906
2,"[BK,getDot,PM(""egg_egg"")]",-1.3862943611198906
3,"[KK,getDot,egg]",-1.3862943611198906
4,"[BB,getStripe,PM(""egg_num_egg"")]",-1.3862943611198906
5,"[BK,getStripe,PM(""egg_egg"")]",-1.3862943611198906
6,"[KK,getStripe,egg]",-1.3862943611198906
7,"[BB,[addnn,num],PM(""egg_num_num"")]",-2.772588722239781
8,"[BK,[addnn,num],PM(""egg_num"")]",-2.772588722239781
9,"[BC,[B,addnn,PM(""num_num"")],PM(""egg_num"")]",-3.4657359027997265
10,"[BC,[K,addnn,num],PM(""egg_num"")]",-3.4657359027997265
11,"[BS,[B,addnn,PM(""num_num"")],PM(""egg_num_num"")]",-3.4657359027997265
12,"[BS,[K,addnn,num],PM(""egg_num_num"")]",-3.4657359027997265
13,"[KB,[addnn,num],PM(""num_num"")]",-2.772588722239781
14,"[KK,[addnn,num],num]",-2.772588722239781
15,"[KC,[B,addnn,PM(""num_num"")],num]",-3.4657359027997265
16,"[KC,[K,addnn,num],num]",-3.4657359027997265
17,"[KS,[B,addnn,PM(""num_num"")],PM(""num_num"")]",-3.4657359027997265
18,"[KS,[K,addnn,num],PM(""num_num"")]",-3.4657359027997265
19,"[CB,[B,addnn,PM(""egg_num"")],PM(""num_num"")]",-3.4657359027997265
20,"[CB,[K,addnn,num],PM(""num_num"")]",-3.4657359027997265
21,"[CK,[B,addnn,PM(""egg_num"")],num]",-3.4657359027997265
22,"[CK,[K,addnn,num],num]",-3.4657359027997265
23,"[CC,[BB,addnn,PM(""egg_num_num"")],num]",-4.1588830833596715
24,"[CC,[BK,addnn,PM(""egg_num"")],num]",-4.1588830833596715
25,"[CC,[KB,addnn,PM(""num_num"")],num]",-4.1588830833596715
26,"[CC,[KK,addnn,num],num]",-4.1588830833596715
27,"[CS,[BB,addnn,PM(""egg_num_num"")],PM(""num_num"")]",-4.1588830833596715
28,"[CS,[BK,addnn,PM(""egg_num"")],PM(""num_num"")]",-4.1588830833596715
29,"[CS,[KB,addnn,PM(""num_num"")],PM(""num_num"")]",-4.1588830833596715
30,"[CS,[KK,addnn,num],PM(""num_num"")]",-4.1588830833596715
31,"[SB,[B,addnn,PM(""egg_num"")],PM(""egg_num_num"")]",-3.4657359027997265
32,"[SB,[K,addnn,num],PM(""egg_num_num"")]",-3.4657359027997265
33,"[SK,[B,addnn,PM(""egg_num"")],PM(""egg_num"")]",-3.4657359027997265
34,"[SK,[K,addnn,num],PM(""egg_num"")]",-3.4657359027997265
35,"[SC,[BB,addnn,PM(""egg_num_num"")],PM(""egg_num"")]",-4.1588830833596715
36,"[SC,[BK,addnn,PM(""egg_num"")],PM(""egg_num"")]",-4.1588830833596715
37,"[SC,[KB,addnn,PM(""num_num"")],PM(""egg_num"")]",-4.1588830833596715
38,"[SC,[KK,addnn,num],PM(""egg_num"")]",-4.1588830833596715
39,"[SS,[BB,addnn,PM(""egg_num_num"")],PM(""egg_num_num"")]",-4.1588830833596715
40,"[SS,[BK,addnn,PM(""egg_num"")],PM(""egg_num_num"")]",-4.1588830833596715
41,"[SS,[KB,addnn,PM(""num_num"")],PM(""egg_num_num"")]",-4.1588830833596715
42,"[SS,[KK,addnn,num],PM(""egg_num_num"")]",-4.1588830833596715
43,"[BB,[mulnn,num],PM(""egg_num_num"")]",-2.772588722239781
44,"[BK,[mulnn,num],PM(""egg_num"")]",-2.772588722239781
45,"[BC,[B,mulnn,PM(""num_num"")],PM(""egg_num"")]",-3.4657359027997265
46,"[BC,[K,mulnn,num],PM(""egg_num"")]",-3.4657359027997265
47,"[BS,[B,mulnn,PM(""num_num"")],PM(""egg_num_num"")]",-3.4657359027997265
48,"[BS,[K,mulnn,num],PM(""egg_num_num"")]",-3.4657359027997265
49,"[KB,[mulnn,num],PM(""num_num"")]",-2.772588722239781
50,"[KK,[mulnn,num],num]",-2.772588722239781
51,"[KC,[B,mulnn,PM(""num_num"")],num]",-3.4657359027997265
52,"[KC,[K,mulnn,num],num]",-3.4657359027997265
53,"[KS,[B,mulnn,PM(""num_num"")],PM(""num_num"")]",-3.4657359027997265
54,"[KS,[K,mulnn,num],PM(""num_num"")]",-3.4657359027997265
55,"[CB,[B,mulnn,PM(""egg_num"")],PM(""num_num"")]",-3.4657359027997265
56,"[CB,[K,mulnn,num],PM(""num_num"")]",-3.4657359027997265
57,"[CK,[B,mulnn,PM(""egg_num"")],num]",-3.4657359027997265
58,"[CK,[K,mulnn,num],num]",-3.4657359027997265
59,"[CC,[BB,mulnn,PM(""egg_num_num"")],num]",-4.1588830833596715
60,"[CC,[BK,mulnn,PM(""egg_num"")],num]",-4.1588830833596715
61,"[CC,[KB,mulnn,PM(""num_num"")],num]",-4.1588830833596715
62,"[CC,[KK,mulnn,num],num]",-4.1588830833596715
