"","condition","batch","trial","stripe","dot","block","result_block","gt","alt"
"1","combine","A",1,0,1,3,3,0,0
"2","combine","A",2,0,2,2,4,0,0
"3","combine","A",3,0,3,1,3,0,0
"4","combine","B",4,1,1,3,2,0,0
"5","combine","B",5,2,1,3,1,0,0
"6","combine","B",6,3,1,3,0,0,0
"7","combine","gen",1,0,0,3,0,0,0
"8","combine","gen",2,2,0,1,0,0,0
"9","combine","gen",3,1,2,3,0,5,4
"10","combine","gen",4,3,2,3,0,3,0
"11","combine","gen",5,2,3,3,0,7,3
"12","combine","gen",6,4,3,2,0,2,0
"13","combine","gen",7,0,4,3,0,12,12
"14","combine","gen",8,4,4,4,0,12,0
"15","construct","A",1,0,1,3,3,0,0
"16","construct","A",2,0,2,2,4,0,0
"17","construct","A",3,0,3,1,3,0,0
"18","construct","B",4,3,1,3,0,0,0
"19","construct","B",5,2,2,2,2,0,0
"20","construct","B",6,1,3,1,2,0,0
"21","construct","gen",1,0,0,3,0,0,0
"22","construct","gen",2,2,0,1,0,0,0
"23","construct","gen",3,1,2,3,0,5,4
"24","construct","gen",4,3,2,3,0,3,0
"25","construct","gen",5,2,3,3,0,7,3
"26","construct","gen",6,4,3,2,0,2,0
"27","construct","gen",7,0,4,3,0,12,12
"28","construct","gen",8,4,4,4,0,12,0
"29","decon","A",1,3,1,3,0,0,0
"30","decon","A",2,2,2,2,2,0,0
"31","decon","A",3,1,3,1,2,0,0
"32","decon","B",4,0,1,3,3,0,0
"33","decon","B",5,0,2,2,4,0,0
"34","decon","B",6,0,3,1,3,0,0
"35","decon","gen",1,0,0,3,0,0,0
"36","decon","gen",2,2,0,1,0,0,0
"37","decon","gen",3,1,2,3,0,5,4
"38","decon","gen",4,3,2,3,0,3,0
"39","decon","gen",5,2,3,3,0,7,3
"40","decon","gen",6,4,3,2,0,2,0
"41","decon","gen",7,0,4,3,0,12,12
"42","decon","gen",8,4,4,4,0,12,0
