,pred_list,terms,count
0,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,1,2,3,4,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,2,4,6,8,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12,3,6,9,12,4,8,12,16,4,8,12,16,4,8,12,16,4,8,12,16,4,8,12,16","[CB,[B,mulnn,getStripe],[B,I,I]]",2193
1,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,2,4,6,8,1,3,5,7,0,2,4,6,0,1,3,5,0,0,2,4,3,6,9,12,2,5,8,11,1,4,7,10,0,3,6,9,0,2,5,8,4,8,12,16,3,7,11,15,2,6,10,14,1,5,9,13,0,4,8,12","[SC,[BB,subnn,[CB,[B,mulnn,getStripe],[B,I,I]]],getDot]",939
2,"0,0,0,0,1,1,1,1,2,2,2,2,3,3,3,3,4,4,4,4,1,2,3,4,2,3,4,5,3,4,5,6,4,5,6,7,5,6,7,8,2,4,6,8,3,5,7,9,4,6,8,10,5,7,9,11,6,8,10,12,3,6,9,12,4,7,10,13,5,8,11,14,6,9,12,15,7,10,13,16,4,8,12,16,5,9,13,16,6,10,14,16,7,11,15,16,8,12,16,16","[SB,[B,addnn,getDot],[BC,[B,mulnn,[B,I,I]],getStripe]]",220
3,"3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0","[BK,[subnn,3],getDot]",5325
4,"1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0","[BC,[B,subnn,[B,I,I]],getDot]",487
5,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,6,6,6,6,4,4,4,4,2,2,2,2,0,0,0,0,0,0,0,0,9,9,9,9,6,6,6,6,3,3,3,3,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0","[SB,[B,mulnn,getStripe],[BK,[subnn,3],getDot]]",186
6,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,4,0,1,2,3,0,0,1,2,0,0,0,1,0,0,0,0,2,4,6,8,0,2,4,6,0,0,2,4,0,0,0,2,0,0,0,0,3,6,9,12,0,3,6,9,0,0,3,6,0,0,0,3,0,0,0,0,4,8,12,16,0,4,8,12,0,0,4,8,0,0,0,4,0,0,0,0","[SB,[B,mulnn,getStripe],[BC,[B,subnn,[B,I,I]],getDot]]",53
7,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,12,12,12,12,8,8,8,8,4,4,4,4,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,9,9,9,9,0,0,0,0,0,0,0,0,16,16,16,16,16,16,16,16,16,16,16,16,0,0,0,0,0,0,0,0","[SS,[BB,mulnn,[SK,[B,mulnn,getStripe],getStripe]],[BK,[subnn,3],getDot]]",5
8,"3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6,3,4,5,6","[KB,[addnn,2],[B,I,I]]",734
9,"3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3","[KK,[subnn,3],0]",3788
10,"2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6","[BK,[addnn,2],getStripe]",826
11,"3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,6,7,7,7,7","[BK,[addnn,3],getDot]",778
12,"3,4,5,6,2,3,4,5,1,2,3,4,0,1,2,3,0,0,1,2,3,4,5,6,2,3,4,5,1,2,3,4,0,1,2,3,0,0,1,2,3,4,5,6,2,3,4,5,1,2,3,4,0,1,2,3,0,0,1,2,3,4,5,6,2,3,4,5,1,2,3,4,0,1,2,3,0,0,1,2,3,4,5,6,2,3,4,5,1,2,3,4,0,1,2,3,0,0,1,2","[SC,[BB,subnn,[KB,[addnn,2],[B,I,I]]],getDot]",9
13,"2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,0,0,0,0,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,0,0,0,0,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2,1,1,1,1,6,6,6,6,5,5,5,5,4,4,4,4,3,3,3,3,2,2,2,2","[BB,[addnn,2],[SK,[B,subnn,getStripe],getDot]]",72
