,pair_index,agent,recipient,EIG,joiner
0,99,"Egg(S4,O4)",4,0.0030356799939336367,0.0
1,70,"Egg(S3,O2)",3,0.4255596121744817,0.0
2,86,"Egg(S4,O1)",3,0.3227864303889256,0.0
3,77,"Egg(S3,O4)",2,0.25489014205208355,0.0
4,54,"Egg(S2,O3)",3,0.19651437242696246,0.0
5,46,"Egg(S2,O1)",3,0.16547656055296117,0.0
6,92,"Egg(S4,O3)",1,0.13454534239924562,0.0
7,82,"Egg(S4,O0)",3,0.11568195385334672,0.0
8,8,"Egg(S0,O2)",1,0.10306809474495932,0.0
9,74,"Egg(S3,O3)",3,0.08527049576465051,0.0
10,14,"Egg(S0,O3)",3,0.07642976164775467,0.0
11,5,"Egg(S0,O1)",2,0.0681782068671752,0.0
12,17,"Egg(S0,O4)",2,0.057669782722321095,0.0
13,58,"Egg(S2,O4)",3,0.05363697344018225,0.0
14,89,"Egg(S4,O2)",2,0.04464032639122249,0.0
15,2,"Egg(S0,O0)",3,0.04129157224496713,0.0
16,22,"Egg(S1,O0)",3,0.040110112026212896,0.0
